egoid, lcStateM, lcStateR, lcMode, posX, posY, speed, acce, latSpeed, yaw_angle, leader_dis, leader_delta_v
IDM
egoid, lcStateM, lcStateR, lcMode, posX, posY, speed, acce, latSpeed, yaw_angle, leader_dis, leader_delta_v
IDM
egoid, lcStateM, lcStateR, lcMode, posX, posY, speed, acce, latSpeed, yaw_angle, leader_dis, leader_delta_v
IDM
egoid, lcStateM, lcStateR, lcMode, posX, posY, speed, acce, latSpeed, yaw_angle, leader_dis, leader_delta_v
IDM
egoid, lcStateM, lcStateR, lcMode, posX, posY, speed, acce, latSpeed, yaw_angle, leader_dis, leader_delta_v
IDM
egoid, lcStateM, lcStateR, lcMode, posX, posY, speed, acce, latSpeed, yaw_angle, leader_dis, leader_delta_v
IDM
ego_lane.2, 0b1000000000000000000000000000000, 0b1000000000000000000000000000000, 0b11001010101, 5.1, -1.875, 0.0, 0.0, 0.0, 0.0, 0.3630042860420577, -6.233138084878501
ego_lane.2, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 5.1030875873492825, -1.875, 0.06175174698565346, 0.6175174698565346, 0.0, 0.0, 0.9955207038240452, -6.417190270761257
ego_lane.2, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 5.1155927302601985, -1.875, 0.18835111123267367, 1.2659936424702023, 0.0, 0.0, 1.6431187610838158, -6.534770874434148
ego_lane.2, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 5.142662505201416, -1.875, 0.35304438759167556, 1.6469327635900188, 0.0, 0.0, 2.300477775861207, -6.612409421113682
ego_lane.2, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 5.187407802618194, -1.875, 0.5418615607438648, 1.8881717315218927, 0.0, 0.0, 2.964290440309429, -6.663843867850748
ego_lane.2, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 5.2518421068356655, -1.875, 0.7468245236055829, 2.049629628617181, 0.0, 0.0, 3.632323291091632, -6.696813147793322
ego_lane.2, 0b1000000000000001, 0b1000000000000001, 0b11001010101, 5.337336520315361, -1.875, 0.9630637459883311, 2.1623922238274815, 0.0, 0.0, 4.30296102434982, -6.715941517370391
