egoid, lanePos, dis2leader, speed, acce
lane1.2, 7.84180123159925, 24.49501228576444, 27.193012315992508, -4.499999999999993
lane1.2, 10.538602463198501, 23.963753225676285, 26.74301231599251, -4.499999999999993
lane1.2, 13.190403694797752, 23.474873955809215, 26.29301231599251, -4.499999999999993
lane1.2, 15.797204926397002, 23.02945059100655, 25.84301231599251, -4.499999999999993
lane1.2, 18.359006157996255, 22.62837194433282, 25.39301231599251, -4.499999999999993
lane1.2, 20.875807389595508, 22.27237706476994, 24.94301231599251, -4.499999999999993
lane1.2, 23.34760862119476, 21.96208372905629, 24.493012315992512, -4.499999999999993
lane1.2, 25.77440985279401, 21.698010422561165, 24.043012315992513, -4.499999999999993
lane1.2, 28.156211084393263, 21.480593543441756, 23.593012315992514, -4.499999999999993
lane1.2, 30.493012315992516, 21.310201042567975, 23.143012315992515, -4.499999999999993
lane1.2, 32.78481354759177, 21.187143363361862, 22.693012315992515, -4.499999999999993
lane1.2, 35.03161477919102, 21.111682308102104, 22.243012315992516, -4.499999999999993
lane1.2, 37.233416010790265, 21.08403829205043, 21.793012315992517, -4.499999999999993
lane1.2, 39.39021724238952, 21.104396329905732, 21.343012315992517, -4.499999999999993
lane1.2, 41.50201847398877, 21.172911015137352, 20.893012315992518, -4.499999999999993
lane1.2, 43.56997308932476, 21.288557307829976, 20.46607999072738, -4.2693232526513825
lane1.2, 45.60107582157243, 21.444446087012572, 20.155974654226036, -3.101053365013442
lane1.2, 47.60525335953086, 21.63073652940396, 19.92757610494258, -2.283985492834546
lane1.2, 49.589583500699916, 21.840419503128416, 19.75902671843841, -1.685493865041714
lane1.2, 51.55932576229874, 22.06828914085422, 19.63581851353801, -1.2320820490040063
lane1.2, 53.51850913270065, 22.31035697039689, 19.547848894500206, -0.8796961903780343
lane1.2, 55.47029237355642, 22.563493241381593, 19.48781592261515, -0.6003297188505385
lane1.2, 57.41719726410962, 22.825195096198456, 19.450281888448853, -0.3753403416629908
lane1.2, 59.3612661974995, 23.09343020798272, 19.43109677934885, -0.19185109100003928
lane1.2, 61.30417241720016, 23.366527624262737, 19.427027614664272, -0.040691646845765206
lane1.2, 63.247299370711445, 23.643099361357955, 19.435511455561457, 0.08483840897184791
lane1.2, 65.19179923320883, 23.921982715314016, 19.45448579438615, 0.1897433882469457
lane1.2, 67.13863697531687, 24.202196930699884, 19.48226904777479, 0.2778325338863752
lane1.2, 69.08862415065498, 24.482910064657815, 19.51747445898741, 0.3520541121262255
lane1.2, 71.04244521617335, 24.76341324421655, 19.558946851379943, 0.4147239239253153
lane1.2, 73.00067832690478, 25.0431003846128, 19.605715363248486, 0.4676851186854236
lane1.2, 74.96381197413113, 25.321452007618404, 19.65695758127866, 0.5124221803017548
lane1.2, 76.93225845055991, 25.598022183129828, 19.711971947296924, 0.5501436601826271
lane1.2, 78.90636486115781, 25.87242788126757, 19.77015626466114, 0.5818431736421559
lane1.2, 80.8864222126714, 26.144340207045516, 19.83099076561077, 0.6083450094963183
lane1.2, 82.87267298259816, 26.413477121258282, 19.89402463292426, 0.6303386731348937
lane1.2, 84.865317472664, 26.679597346366393, 19.958865168392588, 0.6484053546832769
lane1.2, 86.86451918163935, 26.942495225894334, 20.025169011114517, 0.6630384272192913
lane1.2, 88.87040938014039, 27.20199635762414, 20.09263495890624, 0.6746594779172099
lane1.2, 90.88309103082882, 27.457953859742418, 20.16099805486239, 0.683630959561512
lane1.2, 92.90264216761015, 27.71024515860495, 20.230024680764338, 0.6902662590194808
lane1.2, 94.9291188245509, 27.958769209396337, 20.299508458050518, 0.6948377728618027
lane1.2, 96.96255758751606, 28.20344407845228, 20.369266801252664, 0.6975834320214602
lane1.2, 99.00297782768928, 28.44420482965097, 20.43913800221172, 0.6987120095905652
lane1.2, 101.05038366524376, 28.681001668000945, 20.50897874887786, 0.6984074666613793
lane1.2, 103.10476570279329, 28.91379830203968, 20.57866200211287, 0.696832532350129
lane1.2, 105.16610256135519, 29.14257049342183, 20.648075169125192, 0.6941316701232125
lane1.2, 107.23436224601411, 29.367304767502247, 20.71711852405335, 0.6904335492815861
lane1.2, 109.30950336399503, 29.587997263096653, 20.785703835565002, 0.6858531151165081
lane1.2, 111.39147621421048, 29.804652703155284, 20.85375316874408, 0.6804933317907924
lane1.2, 113.48022376436965, 30.017283470982292, 20.921197834439173, 0.67444665695092
lane1.2, 115.57568252929035, 30.225908779008748, 20.987977463974552, 0.6677962953537886
lane1.2, 117.67778336203584, 30.43055391908284, 21.054039190935264, 0.6606172696071155
lane1.2, 119.78645216782374, 30.631249584859518, 21.119336924822758, 0.6529773388749405
lane1.2, 121.90161054925929, 30.82803125821576, 21.183830703888198, 0.6449377906544029
lane1.2, 124.02317639027883, 31.020938652739815, 21.247486116502696, 0.6365541261449792
lane1.2, 126.15106438520938, 31.210015208281746, 21.3102737821083, 0.6278766560560456
lane1.2, 128.2851865185239, 31.39530763134269, 21.37216888418207, 0.6189510207376969
lane1.2, 130.4254525001727, 31.576865476747287, 21.433150748794382, 0.6098186461231236
lane1.2, 132.57177016077725, 31.75474076660791, 21.49320246329654, 0.600517145021584
lane1.2, 134.72404581046547, 31.928987643070116, 21.552310530467626, 0.5910806717108485
lane1.2, 136.8821845646946, 32.09966205173822, 21.610464554115108, 0.5815402364748223
lane1.2, 139.0460906400344, 32.2668214530311, 21.667656952680975, 0.5719239856586711
lane1.2, 141.21566762256217, 32.43052455901994, 21.723882697873975, 0.5622574519300017
lane1.2, 143.39081871124307, 32.590831093559956, 21.779139075744137, 0.552563778701618
