egoid, lanePos, dis2leader, speed, acce
lane1.2, 7.84180123159925, 24.49501228576444, 27.193012315992508, -4.499999999999993
lane1.2, 10.538602463198501, 23.963753225676285, 26.74301231599251, -4.499999999999993
lane1.2, 13.190403694797752, 23.474873955809215, 26.29301231599251, -4.499999999999993
lane1.2, 15.797204926397002, 23.02945059100655, 25.84301231599251, -4.499999999999993
lane1.2, 18.359006157996255, 22.62837194433282, 25.39301231599251, -4.499999999999993
lane1.2, 20.875807389595508, 22.27237706476994, 24.94301231599251, -4.499999999999993
lane1.2, 23.34760862119476, 21.96208372905629, 24.493012315992512, -4.499999999999993
lane1.2, 25.77440985279401, 21.698010422561165, 24.043012315992513, -4.499999999999993
lane1.2, 28.156211084393263, 21.480593543441756, 23.593012315992514, -4.499999999999993
lane1.2, 30.493012315992516, 21.310201042567975, 23.143012315992515, -4.499999999999993
lane1.2, 32.78481354759177, 21.187143363361862, 22.693012315992515, -4.499999999999993
lane1.2, 35.03161477919102, 21.111682308102104, 22.243012315992516, -4.499999999999993
lane1.2, 37.233416010790265, 21.08403829205043, 21.793012315992517, -4.499999999999993
lane1.2, 39.39305036252793, 21.10156320976732, 21.39967471876079, -3.933375972317279
lane1.2, 41.517675167776595, 21.157254321349527, 21.09282138621246, -3.068533325483287
lane1.2, 43.61486241074571, 21.24366798640903, 20.850923473169832, -2.4189791304262798
lane1.2, 45.690374293779406, 21.355147614805595, 20.659314187504137, -1.9160928566569524
lane1.2, 47.748718091816556, 21.487271797118268, 20.50756177323883, -1.5175241426530661
lane1.2, 49.793495723663746, 21.636507280164587, 20.387990863705006, -1.1957090953382377
lane1.2, 51.82763512692839, 21.799979776224568, 20.294797201587873, -0.9319366211713387
lane1.2, 53.853549531958684, 21.975316571138855, 20.22349089901801, -0.7130630256986237
lane1.2, 55.873250674904455, 22.160534940033557, 20.17053195989744, -0.5295893912057181
lane1.2, 57.88843145015947, 22.3539609101486, 20.133083545203, -0.3744841469443827
lane1.2, 59.900527634450725, 22.5541687710315, 20.108840140622043, -0.24243404580957417
lane1.2, 61.910764888461436, 22.759935153001457, 20.095904939592153, -0.1293520102989021
lane1.2, 63.920195159303525, 22.970203572765875, 20.09270047724964, -0.03204462342512926
lane1.2, 65.92972529720545, 23.18405665131739, 20.097902280788965, 0.052018035393253115
lane1.2, 67.94013985099446, 23.4006940550223, 20.110388794991174, 0.1248651420220881
lane1.2, 69.95211944251207, 23.619414772800724, 20.129203035361016, 0.1881424036984214
lane1.2, 71.96625573605128, 23.83960272433862, 20.153522835423225, 0.24319800062208685
lane1.2, 73.98306375221213, 24.060714959305443, 20.182637487793766, 0.2911465237054145
lane1.2, 76.00299208696642, 24.282271894783122, 20.215929207292, 0.3329171949823362
lane1.2, 78.026431461129, 24.50384917256075, 20.252858275959646, 0.3692906866764645
lane1.2, 80.05372192649025, 24.725070815935126, 20.292951031265712, 0.4009275530606615
lane1.2, 82.08515898168191, 24.945603438035008, 20.335790072567544, 0.42839041301832026
lane1.2, 84.1209987960457, 25.165151307810746, 20.381006214708215, 0.4521614214067071
lane1.2, 86.16146269826808, 25.383452120762314, 20.42827182973961, 0.47265615031395924
lane1.2, 88.20674105477818, 25.600273352755508, 20.477295300462202, 0.4902347072259161
lane1.2, 90.25699663835934, 25.815409099405187, 20.527816371160924, 0.5052107069872136
lane1.2, 92.31236756828773, 26.028677322283514, 20.579602227406845, 0.5178585624592102
lane1.2, 94.37296988826643, 26.239917437948677, 20.632444172167055, 0.5284194476021042
lane1.2, 96.43889983650577, 26.448988197441466, 20.686154792619753, 0.5371062045269781
lane1.2, 98.51023585279133, 26.655765813177013, 20.74056553309125, 0.5441074047149641
lane1.2, 100.58704035974236, 26.86014229759789, 20.795524605929455, 0.54959072838205
lane1.2, 102.66936134928955, 27.062023983955157, 20.850895185014352, 0.5537057908489729
lane1.2, 104.75723380038035, 27.26133020445262, 20.906553836801677, 0.5565865178732565
lane1.2, 106.8506809498162, 27.457992104960823, 20.962389151915115, 0.5583531511343764
lane1.2, 108.94971543475232, 27.65195157876404, 21.018300546807307, 0.5591139489219188
lane1.2, 111.05434032260526, 27.84316030448643, 21.074197210251334, 0.5589666344402744
lane1.2, 113.16455004180135, 28.03157887556442, 21.129997173670564, 0.5579996341922921
lane1.2, 115.28033122487349, 28.217176010478454, 21.1856264877723, 0.5562931410173633
lane1.2, 117.40166347380108, 28.399927834498015, 21.241018490779506, 0.5539200300720637
lane1.2, 119.52852005613406, 28.579817224984623, 21.296113155880082, 0.5509466510057592
lane1.2, 121.66086853929968, 28.756833213383572, 21.350856507432415, 0.5474335155233234
lane1.2, 123.79867136952414, 28.930970437950904, 21.40520009705674, 0.5434358962432384
lane1.2, 125.94188640098025, 29.102228642038398, 21.459100532065513, 0.5390043500877439
lane1.2, 128.09046738007308, 29.270612213418048, 21.51251904979124, 0.5341851772572781
lane1.2, 130.24436438917746, 29.436129760689113, 21.56542113229652, 0.5290208250528039
lane1.2, 132.40352425362877, 29.59879372329121, 21.617776156729782, 0.5235502443326112
lane1.2, 134.5678909153276, 29.75862001205755, 21.669557077246992, 0.5178092051720995
lane1.2, 136.73740577593873, 29.91562767759686, 21.7207401349751, 0.5118305772810672
lane1.2, 138.9120080123357, 30.06983860409713, 21.771304592964302, 0.505644579892035
lane1.2, 141.09163486665776, 30.22127722640775, 21.821232493477, 0.4992790051269935
lane1.2, 143.27622191309675, 30.36997026848536, 21.870508435303087, 0.492759418260853
lane1.2, 145.46570330331608, 30.51594650148695, 21.91911936908345, 0.48610933780363297
