egoid, lanePos, latPos, speed, latSpeed, lcState, latAcce, action, laneIndex, tgtlane, origLane
lane1.0, 5.1, 4.800000000000001, 30.855827222630378, 0.0, 0b1000000000000000000000000000000, 0.0, 0, 1, 1, 1
lane1.0, 8.185582722263037, 4.800000000000001, 30.855827222630378, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 11.270319022648232, 4.800000000000001, 30.838898785073525, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 14.353393003658077, 4.800000000000001, 30.822580835123365, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 17.434864513228707, 4.800000000000001, 30.80684935628922, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 20.51479104688724, 4.800000000000001, 30.791681316881427, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 23.593227843975388, 4.800000000000001, 30.77705462488153, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 26.670227979480924, 4.800000000000001, 30.762948085229162, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 29.745842451710995, 4.800000000000001, 30.749341359372252, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 32.820120266026535, 4.800000000000001, 30.736214926938494, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 35.893108514843284, 4.800000000000001, 30.723550049396437, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 38.96485245409231, 4.800000000000001, 30.711328735584015, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 42.035395576321065, 4.800000000000001, 30.69953370899113, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 45.10477968060516, 4.800000000000001, 30.68814837669086, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 48.173044939430774, 4.800000000000001, 30.677156799821326, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 51.24022996269819, 4.800000000000001, 30.66654366552697, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 54.30637185898826, 4.800000000000001, 30.65629426027435, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 57.371506497554336, 4.800000000000001, 30.646398511047252, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 60.43566874247514, 4.800000000000001, 30.636846387368823, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 63.49889245694354, 4.800000000000001, 30.627627901999144, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 66.56121050765657, 4.800000000000001, 30.61873311226157, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 69.62265476936767, 4.800000000000001, 30.61015212196037, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 72.68325612965823, 4.800000000000001, 30.601875083850864, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 75.7430444939819, 4.800000000000001, 30.593892202622303, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 78.80204879103066, 4.800000000000001, 30.586193738352886, 0.0, 0b1000000000000000, 0.0, 0, 1, 0, 1
lane1.0, 81.85730104256183, 4.790000000000001, 30.518851292270526, -0.09999999999999787, 0b110001100, -0.9999999999999787, 1, 1, 0, 1
lane1.0, 84.90588433724044, 4.7700000000000005, 30.452814601301533, -0.20000000000000462, 0b110001100, -1.0000000000000675, 1, 1, 0, 1
lane1.0, 87.94792475409577, 4.740000000000001, 30.38799373580492, -0.2999999999999936, 0b110001100, -0.9999999999998899, 1, 1, 0, 1
lane1.0, 90.98353954658673, 4.700000000000001, 30.324302114014202, -0.40000000000000036, 0b110001100, -1.0000000000000675, 1, 1, 0, 1
lane1.0, 94.01283746506323, 4.65, 30.26165625551596, -0.5000000000000071, 0b110001100, -1.0000000000000675, 1, 1, 0, 1
lane1.0, 97.03591905537591, 4.590000000000001, 30.199975550737708, -0.5999999999999961, 0b110001100, -0.9999999999998899, 1, 1, 0, 1
lane1.0, 100.05287693516134, 4.5200000000000005, 30.13918204497062, -0.7000000000000028, 0b110001100, -1.0000000000000675, 1, 1, 0, 1
lane1.0, 103.06379604918959, 4.44, 30.079200235594428, -0.8000000000000007, 0b110001100, -0.9999999999999787, 1, 1, 0, 1
lane1.0, 106.0687539050342, 4.3500000000000005, 30.01995688129771, -0.8999999999999986, 0b110001100, -0.9999999999999787, 1, 1, 0, 1
lane1.0, 109.06782079020903, 4.250000000000001, 29.961380822198873, -0.9999999999999964, 0b110001100, -0.9999999999999787, 1, 1, 0, 1
lane1.0, 112.06105997181261, 4.15, 29.903402809872798, -1.0000000000000053, 0b110001100, -8.881784197001252e-14, 1, 1, 0, 1
lane1.0, 115.04852787962511, 4.050000000000001, 29.84595534637716, -0.9999999999999964, 0b110001100, 8.881784197001252e-14, 1, 1, 0, 1
lane1.0, 118.01062341426282, 3.9500000000000006, 29.39595534637716, -1.0000000000000009, 0b110001100, -4.440892098500626e-14, 1, 1, 0, 1
lane1.0, 120.92771894890053, 3.8500000000000005, 28.94595534637716, -1.0000000000000009, 0b110001100, 0.0, 1, 1, 0, 1
lane1.0, 123.79981448353826, 3.750000000000001, 28.495955346377162, -0.9999999999999964, 0b110001100, 4.440892098500626e-14, 1, 1, 0, 1
