egoid, lanePos, latPos, speed, latSpeed, lcState, latAcce, action, laneIndex, tgtlane, origLane
lane1.10, 5.1, 4.800000000000001, 0.0, 0.0, 0b1000000000000000000000000000000, 0.0, 0, 1, 1, 1
lane1.10, 5.1003931391076325, 4.800000000000001, 0.007862782152658935, 0.0, 0b1000000000000001, 0.0, 0, 1, 0, 1
lane1.10, 5.106060612611183, 4.800000000000001, 0.10548668791835566, 0.0, 0b1000000000000001, 0.0, 0, 1, 0, 1
lane1.10, 5.123990717368062, 4.800000000000001, 0.2531154072192212, 0.0, 0b1000000000000001, 0.0, 0, 1, 0, 1
lane1.10, 5.158210225513229, 4.800000000000001, 0.43127475568411433, 0.0, 0b1000000000000001, 0.0, 0, 1, 0, 1
lane1.10, 5.211240457422625, 4.800000000000001, 0.6293298825038052, 0.0, 0b1000000000000001, 0.0, 0, 1, 0, 1
lane1.10, 5.284757351010645, 4.800000000000001, 0.8410079892565921, 0.0, 0b1000000000000001, 0.0, 0, 1, 0, 1
lane1.10, 5.3799270245374995, 4.800000000000001, 1.0623854812804876, 0.0, 0b1000000000000001, 0.0, 0, 1, 0, 1
lane1.10, 5.49758785403991, 4.800000000000001, 1.2908311087677309, 0.0, 0b1000000000000001, 0.0, 0, 1, 0, 1
lane1.10, 5.6383568402105855, 4.800000000000001, 1.5245486146457852, 0.0, 0b1000000000000001, 0.0, 0, 1, 0, 1
lane1.10, 5.8027008160531794, 4.800000000000001, 1.7623309022061013, 0.0, 0b1000000000000001, 0.0, 0, 1, 0, 1
lane1.10, 5.990982847570011, 4.800000000000001, 2.003309728130538, 0.0, 0b1000000000000001, 0.0, 0, 1, 0, 1
lane1.10, 6.203490592984978, 4.800000000000001, 2.246845180168798, 0.0, 0b1000000000000001, 0.0, 0, 1, 0, 1
lane1.10, 6.440455626000299, 4.800000000000001, 2.4924554801376084, 0.0, 0b1000000000000001, 0.0, 0, 1, 0, 1
lane1.10, 6.702066950242672, 4.800000000000001, 2.739771004709856, 0.0, 0b1000000000000001, 0.0, 0, 1, 0, 1
lane1.10, 6.988480667518703, 4.800000000000001, 2.98850334081075, 0.0, 0b1000000000000001, 0.0, 0, 1, 0, 1
lane1.10, 7.299827032377004, 4.800000000000001, 3.2384239563552724, 0.0, 0b1000000000000001, 0.0, 0, 1, 0, 1
lane1.10, 7.636215689355291, 4.800000000000001, 3.489349183210474, 0.0, 0b1000000000000001, 0.0, 0, 1, 0, 1
lane1.10, 7.997739620417538, 4.800000000000001, 3.7411294380344695, 0.0, 0b0, 0.0, 0, 1, 0, 1
lane1.10, 8.384478159770378, 4.800000000000001, 3.9936413490223175, 0.0, 0b0, 0.0, 0, 1, 0, 1
lane1.10, 8.796499322901361, 4.800000000000001, 4.2467819135973635, 0.0, 0b0, 0.0, 0, 1, 0, 1
lane1.10, 9.233861623581062, 4.800000000000001, 4.5004640999966385, 0.0, 0b0, 0.0, 0, 1, 0, 1
lane1.10, 9.696615503155618, 4.800000000000001, 4.754613491494503, 0.0, 0b0, 0.0, 0, 1, 0, 1
lane1.10, 10.184804462444697, 4.800000000000001, 5.009165694287098, 0.0, 0b0, 0.0, 0, 1, 0, 1
lane1.10, 10.698465962762683, 4.800000000000001, 5.264064312072608, 0.0, 0b0, 0.0, 0, 1, 0, 1
lane1.10, 11.237632145680095, 4.800000000000001, 5.5192593462756525, 0.0, 0b0, 0.0, 0, 1, 0, 1
lane1.10, 11.802330408972653, 4.8100000000000005, 5.774705919575481, 0.09999999999999787, 0b0, 0.9999999999999787, 0, 1, 0, 1
lane1.10, 12.39258386733059, 4.830000000000001, 6.030363247583271, 0.20000000000000462, 0b0, 1.0000000000000675, 0, 1, 0, 1
lane1.10, 13.008411719852699, 4.86, 6.286193802858907, 0.2999999999999936, 0b0, 0.9999999999998899, 0, 1, 0, 1
lane1.10, 13.649829541465307, 4.880000000000001, 6.542162629393242, 0.20000000000000462, 0b0, -0.9999999999998899, 1, 1, 0, 1
lane1.10, 14.316849511726776, 4.890000000000001, 6.7982367758361315, 0.09999999999999787, 0b0, -1.0000000000000675, 1, 1, 0, 1
lane1.10, 15.009478371190381, 4.890000000000001, 7.054340413435959, 0.0, 0b0, -0.9999999999999787, 1, 1, 0, 1
lane1.10, 15.727717224013402, 4.8985, 7.310436643024444, 0.0849999999999973, 0b0, 0.849999999999973, 0, 1, 0, 1
lane1.10, 16.471563731296687, 4.8985, 7.5664935026412365, 0.0, 0b0, -0.849999999999973, 1, 1, 0, 1
lane1.10, 17.241012376631076, 4.8985, 7.822479404046512, 0.0, 0b0, 0.0, 0, 1, 0, 1
lane1.10, 18.036054490098792, 4.8985, 8.078362865307836, 0.0, 0b0, 0.0, 0, 1, 0, 1
lane1.10, 18.85667824724142, 4.8985, 8.334112277544735, 0.0, 0b0, 0.0, 0, 1, 0, 1
lane1.10, 19.702868646117523, 4.8885000000000005, 8.589695699977367, -0.09999999999999787, 0b0, -0.9999999999999787, 1, 1, 0, 1
lane1.10, 20.574607465047432, 4.868500000000001, 8.845080678620802, -0.19999999999999574, 0b0, -0.9999999999999787, 1, 1, 0, 1
lane1.10, 21.471873203224078, 4.838500000000001, 9.100234084912103, -0.3000000000000025, 0b0, -1.0000000000000675, 1, 1, 0, 1
lane1.10, 22.394641006035272, 4.8185, 9.35512197131176, -0.20000000000000462, 0b0, 0.9999999999999787, 0, 1, 0, 1
lane1.10, 23.342882576677233, 4.8085, 9.609709441527508, -0.09999999999999787, 0b0, 1.0000000000000675, 0, 1, 0, 1
