egoid, lcStateM, lcStateR, lcMode, posX, posY, speed, acce, latSpeed, yaw_angle
ego_lane.2,0b1000000000000000000000000000000,0b1000000000000000000000000000000,0b11001010101,5.1,-1.875,0.0,0.0,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,5.1030875873492800,-1.875,0.06175174698565350,0.6175174698565350,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,5.1155927302602000,-1.875,0.18835111123267400,1.2659936424702000,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,5.142662505201420,-1.875,0.35304438759167600,1.6469327635900200,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,5.187407802618190,-1.875,0.5418615607438650,1.8881717315218900,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,5.2518421068356700,-1.875,0.7468245236055830,2.049629628617180,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,5.337336520315360,-1.875,0.9630637459883310,2.1623922238274800,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,5.444862072429050,-1.875,1.1874472962854300,2.2438355029709500,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,5.5751280525375900,-1.875,1.4178723058854300,2.3042500960000300,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,5.728665371710360,-1.875,1.6528740775700100,2.3500177168457700,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,5.905879007102270,-1.875,1.891398630268060,2.385245526980550,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,6.107082152547300,-1.875,2.1326642786324900,2.412656483644310,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,6.332519071264900,-1.875,2.376074095719630,2.4340981708713300,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,6.582380689403370,-1.875,2.621158267049710,2.4508417133008800,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,6.856815334292690,-1.875,2.8675346307366700,2.463763636869530,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,7.155936225391820,-1.875,3.1148831912459300,2.4734856050926,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,7.479826743746760,-1.875,3.362927175852990,2.4804398460706100,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,7.828544066064790,-1.875,3.611419270507540,2.4849209465454900,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,8.202121600535020,-1.875,3.860131418897170,2.4871214838963200,0.0,0.0
ego_lane.2,0b1000000000000001,0b1000000000000001,0b11001010101,8.600570528170000,-1.875,4.108847133802370,2.487157149052040,0.0,0.0
