egoid, lanePos, latPos, speed, latSpeed, lcState, latAcce, action
lane1.0, 5.1, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000000000000000000, 0.0, 0
lane1.0, 8.28018756607138, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 11.46037513214276, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 14.64056269821414, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 17.82075026428552, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 21.000937830356897, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 24.181125396428275, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 27.361312962499653, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 30.54150052857103, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 33.72168809464241, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 36.90187566071379, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 40.08206322678517, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 43.262250792856555, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 46.44243835892794, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 49.62262592499932, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 52.8028134910707, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 55.98300105714208, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 59.163188623213465, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 62.34337618928485, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 65.52356375535622, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 68.7037513214276, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 71.88393888749899, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 75.06412645357037, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 78.24431401964175, 4.800000000000001, 31.801875660713794, 0.0, 0b1000000000000000, 0.0, 0
lane1.0, 81.4201287614713, 4.790000000000001, 31.71441917587739, -0.09999999999999787, 0b110001100, -0.9999999999999787, 1
lane1.0, 84.56907067905904, 4.7700000000000005, 31.26441917587739, -0.20000000000000462, 0b110001100, -1.0000000000000675, 1
lane1.0, 87.67301259664677, 4.740000000000001, 30.81441917587739, -0.2999999999999936, 0b110001100, -0.9999999999998899, 1
lane1.0, 90.73195451423452, 4.720000000000001, 30.36441917587739, -0.20000000000000462, 0b110001100, 0.9999999999998899, 0
lane1.0, 93.74589643182226, 4.710000000000001, 29.91441917587739, -0.09999999999999787, 0b110001100, 1.0000000000000675, 0
lane1.0, 96.71483834941, 4.710000000000001, 29.464419175877392, 0.0, 0b110001100, 0.9999999999999787, 0
lane1.0, 99.63878026699774, 4.7015, 29.014419175877393, -0.08500000000000618, 0b110001100, -0.8500000000000618, 1
lane1.0, 102.51772218458548, 4.7015, 28.564419175877394, 0.0, 0b11100110001100, 0.8500000000000618, 0
lane1.0, 105.35166410217322, 4.7015, 28.114419175877394, 0.0, 0b11100110001100, 0.0, 0
lane1.0, 108.14060601976095, 4.7015, 27.664419175877395, 0.0, 0b11100110001100, 0.0, 0
lane1.0, 110.88454793734869, 4.7015, 27.214419175877396, 0.0, 0b11100110001100, 0.0, 0
lane1.0, 113.58348985493643, 4.7015, 26.764419175877396, 0.0, 0b11100110001100, 0.0, 0
lane1.0, 116.23743177252418, 4.7015, 26.314419175877397, 0.0, 0b11100110001100, 0.0, 0
lane1.0, 118.84637369011192, 4.7015, 25.864419175877398, 0.0, 0b11100110001100, 0.0, 0
lane1.0, 121.41031560769966, 4.7015, 25.4144191758774, 0.0, 0b11100110001100, 0.0, 0
lane1.0, 123.94203530306518, 4.7015, 25.219974731432956, 0.0, 0b11100110001100, 0.0, 0
lane1.0, 126.45431055398626, 4.7015, 25.025530286988513, 0.0, 0b11100110001100, 0.0, 0
lane1.0, 128.9471413604629, 4.6915, 24.83108584254407, -0.10000000000000675, 0b110001100, -1.0000000000000675, 1
lane1.0, 131.42052772249508, 4.6715, 24.636641398099627, -0.19999999999999574, 0b110001100, -0.9999999999998899, 1
lane1.0, 133.889151723779, 4.6415, 24.735838627579177, -0.3000000000000025, 0b110001100, -1.0000000000000675, 1
lane1.0, 136.36997085808943, 4.6015, 24.880544058629077, -0.40000000000000036, 0b110001100, -0.9999999999999787, 1
lane1.0, 138.86533632620703, 4.5515, 25.026765303722954, -0.4999999999999982, 0b110001100, -0.9999999999999787, 1
lane1.0, 141.37512736075016, 4.4915, 25.169055387139814, -0.5999999999999961, 0b110001100, -0.9999999999999787, 1
lane1.0, 143.8989077831235, 4.4215, 25.306553060326642, -0.7000000000000028, 0b110001100, -1.0000000000000675, 1
