egoid, lanePos, latPos, speed, latSpeed, lcState
lane2.6, 5.1, 8.0, 30.626310656026476, 0.0, 1073741824
lane2.6, 8.16165998349717, 8.0, 30.60688901391691, 0.0, 32768
lane2.6, 11.22141471296257, 8.0, 30.588205575391086, 0.0, 32768
lane2.6, 14.279336507804866, 8.0, 30.570230321454826, 0.0, 32768
lane2.6, 17.33549475009983, 8.0, 30.55293452444444, 0.0, 32768
lane2.6, 20.389956010593007, 8.0, 30.536290685419097, 0.0, 32768
lane2.6, 23.442784168620122, 8.0, 30.5202724751232, 0.0, 32768
lane2.6, 26.494040526290146, 8.0, 30.50485467827729, 0.0, 32768
lane2.6, 29.543783917252764, 8.0, 30.49001314097507, 0.0, 32768
lane2.6, 32.592070810350585, 8.0, 30.475724720981315, 0.0, 32768
lane2.6, 35.638955408436715, 8.0, 30.461967240741252, 0.0, 32768
lane2.6, 38.684489742620094, 8.0, 30.448719442926325, 0.0, 32768
lane2.6, 41.72872376218413, 8.0, 30.43596094835444, 0.0, 32768
lane2.6, 44.771705420408594, 8.0, 30.423672216134836, 0.0, 32768
lane2.6, 47.813480756510266, 8.0, 30.411834505898668, 0.0, 32768
lane2.6, 50.85409397390453, 8.0, 30.400429841986615, 0.0, 32768
lane2.6, 53.89358751497756, 8.0, 30.389440979473957, 0.0, 32768
lane2.6, 56.93200213254737, 8.0, 30.37885137192216, 0.0, 32768
lane2.6, 59.969376958181165, 8.0, 30.368645140753834, 0.0, 32768
lane2.6, 63.00574956752661, 8.0, 30.358807046155064, 0.0, 32768
lane2.6, 66.04115604280516, 8.0, 30.349322459415788, 0.0, 32768
lane2.6, 69.07563103260719, 8.0, 30.340177336625, 0.0, 32768
lane2.6, 72.1092078091206, 8.0, 30.33135819364316, 0.0, 32768
lane2.6, 75.14191832291674, 8.0, 30.322852082279386, 0.0, 10628
lane2.6, 78.173793255411, 8.0, 30.314646567605845, 0.0, 10628
lane2.6, 81.2048620691086, 8.0, 30.306729706346157, 0.0, 12676
lane2.6, 84.23515305573984, 8.0, 30.29909002627872, 0.0, 12676
lane2.6, 87.26469338238377, 8.0, 30.291716506599702, 0.0, 12676
lane2.6, 90.29350913567345, 8.0, 30.284598559193945, 0.0, 12676
lane2.6, 93.32162536417141, 8.0, 30.277726010765257, 0.0, 12676
lane2.6, 96.3490661189987, 8.0, 30.271089085780662, 0.0, 12676
lane2.6, 99.37585449279703, 8.0, 30.26467839018593, 0.0, 12676
lane2.6, 102.40201265709895, 8.0, 30.25848489585235, 0.0, 12676
lane2.6, 105.42756189817743, 8.0, 30.2524999257171, 0.0, 12676
lane2.6, 108.45252265144238, 8.0, 30.246715139581884, 0.0, 12676
lane2.6, 111.4769145344483, 7.99, 30.241122520536567, -0.09999999999999787, 388
lane2.6, 114.50075637857395, 7.97, 30.23571436197649, -0.20000000000000462, 388
lane2.6, 117.52406625943198, 7.94, 30.230483255184005, -0.2999999999999936, 388
lane2.6, 120.5468615260635, 7.9, 30.225422077446442, -0.40000000000000036, 388
lane2.6, 123.56915882897003, 7.85, 30.22052398068434, -0.5000000000000071, 388
lane2.6, 126.59097414703251, 7.79, 30.215782380565223, -0.5999999999999961, 388
lane2.6, 129.61232281336476, 7.72, 30.211190946079615, -0.7000000000000028, 388
